Timestamp,Value
0,518.3
1,520.58
2,532.93
3,529.82
4,525.33
5,539.05
6,530.07
7,519.8
8,518.79
9,520.2
10,518.69
11,525.82
12,509.97
13,533.38
14,540.76
15,527.74
16,515.77
17,511.76
18,506.74
19,520.81
20,501.7
21,500.51
22,507.49
23,515.58
24,532.0
25,525.94
26,516.05
27,514.92
28,527.28
29,523.17
30,527.11
31,526.41
32,539.34
33,521.24
34,524.64
35,514.29
36,520.56
37,522.57
38,519.75
39,529.44
40,530.44
41,511.02
42,509.97
43,511.36
44,525.52
45,522.48
46,508.02
47,524.23
48,531.06
49,526.06
50,506.44
51,518.64
52,508.77
53,528.01
54,514.26
55,524.89
56,519.77
57,520.11
58,506.63
59,520.75
60,514.01
61,524.74
62,507.34
63,514.49
64,505.67
65,500.84
66,498.67
67,512.75
68,516.66
69,499.6
70,512.29
71,523.07
72,512.36
73,504.09
74,519.59
75,516.0
76,516.56
77,505.22
78,523.92
79,534.22
80,523.57
81,511.66
82,522.69
83,517.15
84,523.91
85,526.54
86,540.76
87,545.75
88,523.66
89,506.04
90,518.4
91,524.64
92,519.29
93,508.82
94,527.04
95,512.69
96,512.62
97,527.26
98,527.83
99,539.85
100,524.53
101,538.91
102,544.34
103,530.83
104,527.93
105,530.89
106,534.63
107,522.48
108,511.69
109,524.05
110,531.95
111,513.9
112,516.67
113,528.3
114,508.76
115,514.32
116,514.91
117,518.26
118,529.57
119,508.17
120,504.97
121,513.77
122,510.92
123,509.25
124,516.95
125,527.79
126,528.81
127,529.08
128,539.57
129,509.69
130,498.19
131,519.47
132,530.94
133,535.0
134,519.02
135,519.34
136,518.19
137,505.5
138,503.07
139,505.99
140,524.04
141,522.28
142,523.91
143,521.53
144,535.15
145,514.44
146,509.65
147,515.18
148,520.75
149,520.02
150,520.25
151,519.72
152,513.07
153,498.5
154,517.32
155,527.35
156,514.21
157,510.84
158,526.22
159,535.23
160,524.16
161,525.02
162,531.52
163,541.01
164,526.88
165,513.6
166,530.84
167,532.27
168,516.09
169,523.95
170,543.91
171,545.6
172,534.91
173,512.63
174,535.28
175,541.87
176,536.06
177,514.98
178,514.63
179,510.09
180,509.1
181,521.19
182,535.29
183,530.54
184,523.41
185,519.91
186,520.52
187,523.55
188,522.99
189,529.67
190,522.57
191,526.09
192,514.13
193,524.15
194,516.67
195,530.97
196,515.33
197,526.85
198,529.26
199,520.66
200,506.29
201,515.88
202,516.83
203,526.39
204,511.98
205,514.54
206,517.38
207,518.71
208,503.8
209,510.75
210,501.14
211,526.21
212,517.21
213,523.61
214,516.02
215,513.91
216,524.35
217,538.14
218,527.53
219,521.65
220,531.55
221,530.68
222,544.52
223,537.28
224,523.36
225,519.54
226,514.3
227,513.57
228,522.15
229,515.16
230,519.08
231,539.05
232,535.08
233,522.07
234,532.47
235,530.55
236,522.09
237,515.79
238,525.45
239,527.44
240,510.26
241,497.52
242,518.41
243,506.3
244,510.88
245,514.9
246,527.93
247,511.88
248,511.81
249,513.44
250,513.73
251,515.9
252,501.49
253,523.41
254,529.25
255,516.32
256,517.09
257,525.54
258,524.49
259,532.22
260,523.73
261,536.77
262,531.41
263,531.6
264,511.02
265,528.66
266,516.98
267,529.82
268,510.98
269,512.96
270,513.11
271,519.21
272,511.77
273,515.75
274,512.42
275,517.8
276,522.96
277,537.66
278,516.24
279,499.69
280,511.34
281,513.17
282,527.92
283,515.87
284,527.5
285,537.98
286,517.44
287,506.4
288,513.27
